id,name,category,dish_type,price,price_range,ingredients,detailed_ingredients,tags,description,is_available,sort_order,prep_time,image_url
1,Bắp bò ngâm nước mắm,Khai vị,appetizer,150000,moderate,"thịt bò,nước mắm,tỏi,ớt,đường","bắp bò,nước mắm,tỏi,ớt,đường,giấm,hành tím","khai_vi,bo,nguoi_lon",Bắp bò thơm ngon ngâm nước mắm truyền thống.,1,1,15,
2,Chả mực Hạ Long,Khai vị,appetizer,150000,moderate,"mực,tiêu,tỏi,hành,trứng","mực tươi Hạ Long,tiêu,tỏi,hành tím,trứng,muối,dầu chiên","khai_vi,hai_san,chien",Chả mực Hạ Long thơm ngon giòn bên ngoài mềm bên trong.,1,2,20,
3,Đậu hũ non thịt ghẹ nướng giấy bạc,Khai vị,appetizer,150000,moderate,"đậu hũ,ghẹ,sả,ớt,nước mắm","đậu hũ non,thịt ghẹ,sả,ớt,nước mắm,dầu ăn,hành lá","khai_vi,hai_san,nuong,dau_hu",Đậu hũ mềm kết hợp ghẹ tươi nướng thơm lừng.,1,3,25,
4,Hến xúc bánh đa,Khai vị,appetizer,89000,affordable,"hến,bánh đa,sả,ớt,rau thơm","hến tươi,bánh đa vừng,sả,ớt,rau răm,húng quế,nước chấm","khai_vi,hai_san,mien_trung",Hến đồng tươi xào sả ớt xúc bánh đa vừng giòn.,1,4,15,
5,Lườn ngỗng sốt chanh dây,Khai vị,appetizer,150000,moderate,"lườn ngỗng,chanh dây,tỏi,bơ,kem","lườn ngỗng,chanh dây,tỏi,bơ,kem tươi,muối,tiêu","khai_vi,ga,nuong,cao_cap",Lườn ngỗng mềm thơm với sốt chanh dây chua ngọt.,1,5,30,
6,Mì xào hải sản,Khai vị,appetizer,130000,moderate,"mì,tôm,mực,cà rốt,cần tây,tỏi","mì trứng,tôm,mực,cà rốt,cần tây,bắp cải,tỏi,dầu hào","khai_vi,hai_san,xao,mi",Mì xào giòn với hải sản tươi rau củ đa dạng.,1,6,20,
7,Miến xào thịt ghẹ,Khai vị,appetizer,150000,moderate,"miến,ghẹ,cà rốt,nấm,trứng,hành","miến dong,thịt ghẹ,cà rốt,nấm đông cô,trứng,hành lá,dầu hào","khai_vi,hai_san,xao,mien",Miến xào thịt ghẹ ngọt tự nhiên thơm ngon.,1,7,20,
8,Nem ghẹ Phú Quốc,Khai vị,appetizer,140000,moderate,"ghẹ,bánh tráng,bún,rau sống,nước chấm","thịt ghẹ Phú Quốc,bánh tráng,bún tươi,xà lách,húng quế,nước chấm","khai_vi,hai_san,cuon,phu_quoc",Nem cuốn thịt ghẹ Phú Quốc tươi ngon.,1,8,20,
9,Salad cải mầm cá ngừ,Khai vị,appetizer,150000,moderate,"cải mầm,cá ngừ,cà chua,sốt mè","cải mầm,cá ngừ đóng hộp,cà chua bi,hành tây,sốt mè rang,vừng","khai_vi,ca,salad,tuoi_mat",Salad tươi mát cải mầm giòn và cá ngừ dinh dưỡng.,1,9,10,
10,Salad cải mầm: Trứng/ Bò,Khai vị,appetizer,89000,affordable,"cải mầm,trứng,bò,cà chua,sốt mè","cải mầm,trứng luộc hoặc thịt bò,cà chua,hành tây,sốt mè rang","khai_vi,salad,tuoi_mat,chay_duoc",Salad cải mầm thanh mát chọn trứng hoặc bò.,1,10,10,
