product_id,product_name,brand,main_category,countries,ingredient_count,ingredients,nutriscore_grade,ecoscore_grade,energy_kcal_100g,fat_100g,carbohydrates_100g,proteins_100g,source
8076809513753,PESTO alla GENOVESE,Barilla,green pestos,australia | belgium | france | germany | luxembourg | morocco | norway | poland,12,sunflower oil | fresh basil | cashew nuts | parmigiano reggiano pdo cheese | maize fibre | whey powder | milk protein | extra virgin olive oil | basil extract | natural flavourings | acidity regulator: lactic acid | garlic,e,d,492.0,47.0,11.0,4.7,Open Food Facts
8076809523547,Pesto Rosso,BARILLA,red pestos,austria | belgium | croatia | france | germany | greece | italy | norway,14,tomato pulp | sunflower oil | tomato concentrate | grana padano pdo cheese (milk | lysozyme from egg | cashews | basil | balsamic vinegar of modena (wine vinegar | cooked grape must | whey powder | pecorino romano pdo cheese | rice starch | garlic | acidity regulator: lactic acid,e,d,329.0,29.0,12.0,3.8,Open Food Facts
6111184004129,Mayonnaise recette originale,Star,groceries,france | morocco | united states,8,huile de soja | vinaigre de table | jaune d’œufs | moutarde&quot | stabilisants (e412 | e415 | conservateur : (e202 | e211) et antioxydant : e330. contient des sulfites,d,d,592.0,65.21,0.22,1.12,Open Food Facts
8720182556738,Maille Moutarde Fine de Dijon L'Originale Bocal 360g,Maille,dijon mustards,belgium | france | germany | luxembourg | morocco | netherlands | switzerland,4,graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium,e,a,144.0,10.0,2.6,7.6,Open Food Facts
6111184004730,Ketchup star 310 g,Star,groceries,morocco | united states,7,starch | خل الطماطلخ مركز سكر | المکونات | مواد معدل | مشخن المائدة | وتوابل حافظة | e202 e211,c,b,108.0,0.08,25.7,1.12,Open Food Facts
8445290615350,sauce tomate cuisinée,Solis,salsas de tomate frito,morocco,8,tomato | tomato concentrate | non hydrogenated sunflower oil | modified corn starch | natural onion flavor | onion | garlic | white pepper,c,b,68.0,0.4,7.6,1.6,Open Food Facts
8715700407760,Tomato Ketchup BIO,Heinz,ketchup,belgium | france | germany | romania | spain | switzerland | united kingdom | united states,5,tomates | vinaigre | épices | poudre d'oignon | poudre d'ail,d,a-plus,112.0,0.1,25.3,1.4,Open Food Facts
3033710084913,MAGGI Arôme - Bouteille de 250g,"Maggi, Nestlé",flavors,belgium | france | french polynesia | germany | guadeloupe | new caledonia | reunion | switzerland,3,arômes | exhausteurs de goût : glutamate monosodique | inosinate disodique,not-applicable,unknown,69.0,0.5,6.5,9.8,Open Food Facts
6111251753912,611251753912,sos,tomato sauces,morocco,7,ingrédients: purée de tomate | huile de tournesol | amidon de mais modifié | arôme de légumes. de matières sèches | ingredientes: puré de tomate | aceite de girasol | almidón modificado de maíz,c,b,73.0,3.3,8.7,1.3,Open Food Facts
6111251753899,Olla,Olla,tomato sauces,morocco,4,puré de tomate | aceite de girasol | almidón modificado de maiz | aroma de verduras,c,b,73.0,3.3,8.7,1.3,Open Food Facts
3292070005161,Houmous extra - Pois chiches français & graines de sésame,L'atelier Blini,classic hummus,france | spain | switzerland,6,crustacés | oeufs | poissons | soja | lait | moutarde et mollusques,c,b,317.0,26.8,8.7,6.9,Open Food Facts
6111184000619,Mayonnaise,Star,groceries,morocco,6,المكونات: زيت الصوجا، ماء، خل المائدة | أصفر البيض، خردل ، ملح | مثبت e415، مواد حافظة: (e202 | e211) ومضادات الأكسدة:( e330 | e385 | يحتوي على السولفيت,d,c,592.0,65.21,0.22,1.12,Open Food Facts
8715035110106,Soy Sauce,Kikkoman,sauces au soja salees,belgium | bulgaria | croatia | czech republic | denmark | finland | france | germany,6,soya bean | vegetable | legume | pulse | soya | wheat,e,a-plus,77.0,0.0,3.2,10.0,Open Food Facts
87157215,Tomato Ketchup,Heinz,tomato ketchup,belgium | france | germany | luxembourg | morocco | poland | portugal | spain,5,tomates | vinaigre | extraits d'épices et d'herbes | céleri | épice,d,a,102.0,0.1,23.2,1.2,Open Food Facts
8720182460721,Amora Moutarde Forte Bocal 430g,Amora,dijon mustards,france | germany | morocco | switzerland,4,graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium,e,a,145.0,10.0,2.7,7.7,Open Food Facts
3038354199603,Panzani sauce pesto basilic 200g,Panzani,pesto vert,france | reunion | romania | switzerland,12,basilic frais | huile de tournesol | grana padano aop(lait | oeuf | flocons de pommes de terre | farine de noix de cajou | arôme naturel | acidifiant : acide lactique | pignons de pin 0 | antioxydant : acide ascorbique | ail | arôme naturel de basilic. peut contenir : arachides,e,d,329.0,31.0,7.9,3.8,Open Food Facts
8076809513722,Basilico,Barilla,tomato sauces with basil,albania | austria | belgium | bulgaria | france | germany | greece | italy,6,pulpe de tomates | concentré de tomates | oignons | huile de tournesol | basilic | arôme naturel,a,a-plus,64.0,2.6,7.6,1.6,Open Food Facts
6111184000657,Star Mayonnaise,Star,mayonnaises,morocco,9,huile de soja | vincigre de ioble | jaune d'aeufs | moutarde' | stobilisants (ea12 | e415 | conservateurs (e202 | e211) elantorydants(e330 | e385):contient des sulfies,e,c,592.0,65.21,,1.12,Open Food Facts
