dish_id,name,name_key,category,category_label,price_vnd,price_range,source_url,image_url,description,estimated_calories,keywords,is_set_menu,source_files,cluster_id,meal_role,cluster_label
D0108,Set menu 200.000đ /người (1),set menu 200 000 nguoi 1,menu-com-doan-du-lich,Set menu đoàn,200000,moderate,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,https://cdn.hstatic.net/products/200001057701/set-menu-200-1_59e3f9effb9e4544988558158c6288cf_1024x1024.jpg,CẢI THÌA XÀO DẦU HÀOGÀ RANG GỪNGCÁ BỐNG KHO TỘTÔM RIM THỊTMỰC CHIÊN NƯỚC MẮMCANH CUA CÀ PHÁOCƠM NIÊUTRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,870,com|hai_san|chien_xao|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0109,Set menu 200.000đ /người (2),set menu 200 000 nguoi 2,menu-com-doan-du-lich,Set menu đoàn,200000,moderate,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,https://cdn.hstatic.net/products/200001057701/set-menu-200-2_c5b943c02aa547b191ef02d6846a1bf9_1024x1024.jpg,ĐẬU QUE XÀO LÒNG GÀ VỊT KHO GỪNG CÁ NGỪ ĐẠI DƯƠNG KHO THƠM THỊT KHO TRỨNG TÔM RANG MUỐI CANH THÁT LÁT KHỔ QUA CƠM NIÊU TRÁI CÂY+KHĂN LẠNH+ TRÀ ĐÁ,870,com|canh|hai_san|thit|chien_xao|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0110,Set menu 200.000đ /người (3),set menu 200 000 nguoi 3,menu-com-doan-du-lich,Set menu đoàn,200000,moderate,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,https://cdn.hstatic.net/products/200001057701/set-menu-200-3_7b4e8ff5f7534b68a56e196966afc737_1024x1024.jpg,RAU LUỘC THẬP CẨM KHO QUẸTGÀ CHIÊN NƯỚC MẮM TÔM CHÁY TỎI THỊT KHO CỦ CẢI TRẮNG CÁ NGỪ ĐẠI DƯƠNG SỐT CÀ CANH CÁ NẤU RIÊU CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,870,com|canh|rau|hai_san|thit|chien_xao|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0111,Set menu 250.000đ /người (1),set menu 250 000 nguoi 1,menu-com-doan-du-lich,Set menu đoàn,250000,moderate,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,https://cdn.hstatic.net/products/200001057701/set-menu-250-1_5e39ce241651496aa521451c2d64b79d_grande.jpg,GÂN BÒ XÀO CẢI CHUA GÀ HẤP MẮM NHĨ BÒ SỐT NẤM CÁ DỨA KHO TỘ TÔM RANG MUỐI CANH CHUA CÁ BÓP CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,870,com|canh|hai_san|thit|chien_xao|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0112,Set menu 250.000đ /người (2),set menu 250 000 nguoi 2,menu-com-doan-du-lich,Set menu đoàn,250000,moderate,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,https://cdn.hstatic.net/products/200001057701/set-menu-250-2_257f62623d8a4eb992cea1f5abcb89d2_grande.jpg,ĐẬU QUE XÀO BÒ GÀ CHIÊN NƯỚC MẮM GIÒ HEO NẤU GIẢ CẦY CÁ THU SỐT CÀ CHUA TÔM CHÁY TỎI CANH CHUA CÁ DỨA CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,870,com|canh|hai_san|thit|chien_xao|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0113,Set menu 250.000đ /người (3),set menu 250 000 nguoi 3,menu-com-doan-du-lich,Set menu đoàn,250000,moderate,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,https://cdn.hstatic.net/products/200001057701/set-menu-250-3_73150eddcb25464a9091a61db679a41e_grande.jpg,RAU RỪNG GIA LAI XÀO BÒGÀ KHO SẢ ỚT THỊT RANG CHÁY CẠNH CÁ CHIM HẤP HONG KONG TÔM CHIÊN NƯỚC MẮM CANH HẾN (DẮT) MỒNG TƠICƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,870,com|canh|rau|hai_san|thit|chien_xao|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0114,Set menu 300.000đ /người (1),set menu 300 000 nguoi 1,menu-com-doan-du-lich,Set menu đoàn,300000,premium,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,https://cdn.hstatic.net/products/200001057701/set-menu-300-1_0fe10d6b6a0c4489bd64ccae4bd402e5_grande.jpg,GỎI BÒ ĐỒNG QUÊ GÀ HẤP CẢI XANH CÁ BỐNG MÚ CHƯNG TƯƠNG BÒ SỐT TIÊU ĐEN TÔM CÀNG CHÁY BƠ TỎI LẨU VỊT OM SẤU CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,960,lau|com|hai_san|thit|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0115,Set menu 300.000đ /người (2),set menu 300 000 nguoi 2,menu-com-doan-du-lich,Set menu đoàn,300000,premium,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,https://cdn.hstatic.net/products/200001057701/set-menu-300-2_f4dbe388468445f1a0ca381557dcb9a0_grande.jpg,GỎI THÁI HẢI SẢN GÀ HẤP MẮM NHĨ CÁ KHO LÀNG VŨ ĐẠI BẮP BÒ NGÂM NƯỚC MẮM TÔM CÀNG XANH RANG MUỐI LẨU NGÓT CÁ CHIM CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,960,lau|com|hai_san|thit|chien_xao|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0116,Set menu 300.000đ /người (3),set menu 300 000 nguoi 3,menu-com-doan-du-lich,Set menu đoàn,300000,premium,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3,https://cdn.hstatic.net/products/200001057701/set-menu-300-_d206900c561c4e73a11b831507e4683d_grande.jpg,SALAD CẢI MẦM BÒ GÀ HẤP MÍA CÁ NGỪ ĐẠI DƯƠNG LÚC LẮC TÔM CÀNG HẤP BIA MỰC 1 NẮNG CHIÊN NƯỚC MẮM LẨU RIÊU CUA SƯỜN SUN CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,960,lau|com|rau|hai_san|thit|chien_xao|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0117,Set menu 350.000đ /người (1),set menu 350 000 nguoi 1,menu-com-doan-du-lich,Set menu đoàn,350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,https://cdn.hstatic.net/products/200001057701/set-menu-350-1_b8ecc67dea3a41f3a12e3e472e0a92ac_grande.jpg,GỎI TIẾN VUA TÔM THỊT GÀ HẤP MẮM NHĨ BẮP BÒ NGÂM NƯỚC MẮM CÁ KHO LÀNG VŨ ĐẠI TÔM CÀNG HẤP NƯỚC DỪA LẨU CUA NẤU BẦU CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,960,lau|com|hai_san|thit|thanh_dam|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0119,Set menu 350.000đ /người (2),set menu 350 000 nguoi 2,menu-com-doan-du-lich,Set menu đoàn,350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,https://cdn.hstatic.net/products/200001057701/set-menu-350-2_dd6e4dc8dc9749a2ad6dc1267a2af3da_grande.jpg,GÂN BÒ XÀO CẢI CHUA CHẢ MỰC HẠ LONG CÁ KHO LÀNG VŨ ĐẠI GÀ SỐT NẤM ĐÔNG CÔ NEM GHẸ PHÚ QUỐC LẨU VỊT OM SẤU CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,960,lau|com|hai_san|thit|chien_xao|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0118,Set menu 450.000đ /người,set menu 450 000 nguoi,menu-com-doan-du-lich,Set menu đoàn,450000,premium,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,https://cdn.hstatic.net/products/200001057701/set-menu-450_01cc2baadffe4e84b30113ac1e7ad544_grande.jpg,GÂN BÒ XÀO CẢI CHUA GÀ XÀO SẢ ỚT CÁ BỐNG MÚ CHƯNG TƯƠNG TÔM CÀNG RANG MUỐI NEM RÁN THỊT GHẸ MĂNG XÀO THỊT BA RỌI MỰC 1 NẮNG CHIÊN NƯỚC MẮM LẨU RIÊU CÁ CHÉP GIÒN CƠM NIÊU TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ,960,lau|com|hai_san|thit|chien_xao|do_uong_them,1,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_12.xlsx,3,feast,C4 - Cụm 4: Món tiệc/lẩu/ăn chơi
D0039,Cá bóng cát kho tộ,ca bong cat kho to,mon-ca,Món cá,150000,moderate,https://comnieuvietnam.vn/products/ca-bong-cat-kho-to,https://cdn.hstatic.net/products/200001057701/ca-bong-cat-kho-to_f6c12a3ad58747fb8a700745b4afca2a_1024x1024.jpg,"Cá bóng cát kho tộ là một trong những món ăn dân dã nhưng lại mang hương vị tinh tế, mộc mạc khiến bất kỳ ai từng thưởng thức đều khó quên. Những con cá bóng cát tươi được làm sạch, kho liu riu trong nồi đất cùng nước mắm ngon, đường thắng màu, tiêu xay và vài lát ớt đỏ cay nhẹ. Khi kho đúng lửa, cá săn chắc, thấm đều gia vị, lớp nước kho sánh quyện, dậy mùi thơm đặc trưng hòa cùng vị béo đầu cá và vị mặn ngọt hài hòa.Điểm đặc biệt của món này nằm ở hương vị kho tộ truyền thống: cá mềm mà không nát, thịt ngọt tự nhiên, nước kho sánh vàng đậm đà, đưa cơm đến lạ. Chỉ cần thêm chén cơm trắng nóng, vài lát dưa leo hay rau sống là đủ tạo nên bữa ăn đậm đà phong vị miền quê Việt.",520,com|rau|hai_san|thit|thanh_dam|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0050,Cá bông lau kho tộ,ca bong lau kho to,mon-ca,Món cá,150000,moderate,https://comnieuvietnam.vn/products/ca-bong-lau-kho-to,https://cdn.hstatic.net/products/200001057701/ca-bong-lau-kho-to_b625741777c841d8a1b8210b023a4d9e_1024x1024.jpg,"Cá bông lau kho tộ là món ăn đặc trưng trong ẩm thực Việt Nam, mang đến hương vị đậm đà, mặn mà mà vẫn giữ được vị ngọt tự nhiên của cá tươi. Cá bông lau được lựa chọn kỹ càng, thịt săn chắc, thơm ngọt, khi kho trong nồi đất sẽ thấm đều gia vị, giữ trọn vẹn hương vị đặc trưng. Nước kho sánh mịn, màu nâu cánh gián hấp dẫn, hòa quyện với hương thơm nhẹ của hành khô, tỏi phi, tiêu và một chút mắm ngon, tạo nên món ăn bắt mắt và khó cưỡng.Khi thưởng thức, từng miếng cá mềm, thơm, ngấm gia vị đậm đà nhưng vẫn giữ được độ ngọt tự nhiên, nước kho sánh mịn, sóng sánh quanh từng thớ thịt, kết hợp với cơm trắng nóng hổi, mang đến trải nghiệm trọn vị khó quên. Món ăn không chỉ ngon miệng mà còn bổ dưỡng, thích hợp trong bữa cơm gia đình, bữa tiệc hay thực đơn nhà hàng.",520,lau|com|canh|hai_san|thit|thanh_dam|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0045,Cá bớp kho tộ,ca bop kho to,mon-ca,Món cá,150000,moderate,https://comnieuvietnam.vn/products/ca-bop-kho-to,https://cdn.hstatic.net/products/200001057701/untitled-11414141_172d26d844764f439158a51f0b639ac2_grande.jpg,"Cá bớp kho tộ là một trong những món ăn mang đậm dấu ấn ẩm thực truyền thống Việt Nam, kết hợp hoàn hảo giữa sự chắc ngọt tự nhiên của thịt cá biển và hương vị mặn mà, đậm đà của nước kho đặc sánh. Cá bớp tươi được tuyển chọn kỹ, cắt khoanh dày, đem ướp cùng hành tím, tỏi, tiêu, nước mắm ngon và chút đường thắng tạo màu, sau đó kho liu riu trên lửa nhỏ để gia vị thấm sâu vào từng thớ thịt. Khi chín, cá có độ béo nhẹ, thịt mềm nhưng không bị nát, thấm đẫm nước kho vàng nâu sóng sánh, dậy mùi thơm quyến rũ.Mỗi nồi cá bớp kho tộ là sự hòa quyện giữa muối mặn, ngọt tự nhiên, cay nhẹ của tiêu và hương thơm của tỏi hành – tạo nên món ăn vừa gần gũi, vừa đưa cơm đến khó cưỡng. Dùng nóng cùng cơm trắng, thêm ít rau sống hoặc dưa leo ăn kèm, thực khách sẽ cảm nhận được trọn vẹn vị ngon tinh tế và ấm áp của món cá kho truyền thống. Đây là lựa chọn hoàn hảo cho bữa cơm gia đình đủ chất, tròn vị và giàu dinh dưỡng.",520,com|rau|hai_san|thit|thanh_dam|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0038,Cá diếc: Kho tương bần/ chiên giòn,ca diec kho tuong ban chien gion,mon-ca,Món cá,150000,moderate,https://comnieuvietnam.vn/products/ca-diec-kho-tuong-ban-chien-gion,https://cdn.hstatic.net/products/200001057701/ca-diec-chien-gion_2655a7988cf04ac69d67bbdc39abbdce_1024x1024.jpg,"Cá diếc là một trong những loại cá đồng quen thuộc, gắn với ký ức bữa cơm gia đình Việt. Thịt cá trắng, thơm, chắc và ngọt tự nhiên, khi được chế biến theo hai cách đặc trưng: kho tương bần hoặc chiên giòn, mang đến hai trải nghiệm vị giác hoàn toàn khác nhau nhưng đều đầy hấp dẫn.Cá diếc kho tương bần là món ăn mang đậm hương vị quê nhà. Cá được làm sạch, kho chậm lửa cùng tương bần chuẩn vị, gừng, ớt và chút tóp mỡ, tạo nên màu nâu cánh gián óng mượt. Khi kho kỹ, cá mềm rục, xương gần như tan trong miệng, vị tương bần mặn ngọt hài hòa thấm sâu vào từng thớ thịt. Món này ăn cùng cơm trắng nóng hay bát cháo trắng cũng đều thơm ngon khó cưỡng.",590,com|canh|hai_san|thit|chien_xao|thanh_dam,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0053,Cá dứa 1 nắng Cần Giờ: Chiên/ Sốt cà,ca dua 1 nang can gio chien sot ca,mon-ca,Món cá,190000,moderate,https://comnieuvietnam.vn/products/ca-dua-1-nang-can-gio-chien-sot-ca,https://cdn.hstatic.net/products/200001057701/ca-dua-1-nang_abace3194d464a6ab7b3dfb31f261df2_1024x1024.jpg,"Cá dứa 1 nắng Cần Giờ là món ăn đặc sản mang hương vị miền biển độc đáo, nổi bật với vị ngọt tự nhiên của cá tươi và độ thơm ngon đậm đà sau khi phơi 1 nắng. Cá được chọn từ những con cá dứa tươi ngon, làm sạch, giữ nguyên thớ thịt săn chắc và độ ngọt tự nhiên. Qua quá trình phơi nắng nhẹ, cá không chỉ giữ được vị tươi mà còn có lớp thịt săn, thơm, thích hợp để chế biến đa dạng, từ chiên giòn đến sốt cà đậm đà.Khi chiên, từng miếng cá vàng ruộm, giòn bên ngoài, mềm ngọt bên trong, hương thơm lan tỏa quyến rũ, ăn kèm cơm trắng nóng hổi là trải nghiệm khó quên. Còn khi chế biến sốt cà, cá dứa 1 nắng sẽ thấm đều nước sốt cà chua đậm đà, hòa quyện với vị ngọt tự nhiên của cá và chút gia vị dân dã, tạo nên món ăn vừa thơm ngon vừa bắt cơm, giữ được nét đặc trưng mộc mạc của hải sản miền biển.",590,com|hai_san|thit|chien_xao|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0046,Cá dứa biển kho tộ,ca dua bien kho to,mon-ca,Món cá,170000,moderate,https://comnieuvietnam.vn/products/ca-dua-bien-kho-to,https://cdn.hstatic.net/products/200001057701/ca-dua-bien-kho-to_953ba49f3aac4a5398c4d137aeb8773c_grande.jpg,"Cá dứa biển kho tộ là một trong những món ăn mang hương vị mộc mạc nhưng vô cùng quyến rũ của ẩm thực Việt. Từng khúc cá dứa tươi chắc thịt, có độ béo nhẹ tự nhiên, được kho liu riu cùng nước màu cánh gián óng ả, hòa quyện với tiêu xay, ớt hiểm và hành tỏi phi thơm. Khi kho đến độ sệt vừa phải, cá thấm hết gia vị, tạo nên một hương thơm đậm đà, lan tỏa khiến ai cũng muốn thưởng thức ngay lập tức.Điểm đặc biệt của cá dứa biển là độ dai mềm vừa phải, không bị bở như nhiều loại cá khác, ăn vào cảm nhận rõ sự ngọt thanh của thịt cá quyện cùng vị mặn mà của nước kho. Dọn kèm nồi cơm trắng nóng hổi và vài lát dưa leo hay rau luộc, món cá dứa kho tộ trở thành một bữa ăn giản dị mà tròn vị, gợi nhớ đến những bữa cơm gia đình đầm ấm.",520,com|canh|rau|hai_san|thit|thanh_dam|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0040,Cá gáy Phú Quý: Kho tộ/ Chưng tương,ca gay phu quy kho to chung tuong,mon-ca,Món cá,160000,moderate,https://comnieuvietnam.vn/products/ca-gay-phu-quy-kho-to-chung-tuong,https://cdn.hstatic.net/products/200001057701/ca-hong-bien-kho-to_01970caa70bc4430b857a32c5153afa0_1024x1024.jpg,Chưa có mô tả cho sản phẩm này,460,hai_san,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0044,Cá hồng biển Phú Quý: Kho tộ/ Sốt cà chua,ca hong bien phu quy kho to sot ca chua,mon-ca,Món cá,170000,moderate,https://comnieuvietnam.vn/products/ca-hong-bien-phu-quy-kho-to-sot-ca-chua,https://cdn.hstatic.net/products/200001057701/ca-hong-bien-kho-to_ae1af41ebe17446e816ab0fef1fa3e12_1024x1024.jpg,"Cá hồng biển Phú Quý – đặc sản trứ danh vùng biển Bình Thuận – luôn được yêu thích bởi thớ thịt trắng hồng, săn chắc, ngọt tự nhiên và gần như không hề tanh. Tại nhà hàng, cá hồng biển được chế biến theo hai phong vị quen thuộc nhưng đầy tinh tế, giúp giữ trọn vẹn hương vị của loại cá cao cấp này.Kho tộ, cá được kho liu riu trong nồi đất cùng nước màu thắng chuẩn vị, thêm hành tím, tiêu xanh và tóp mỡ tạo độ béo nhẹ. Từng miếng cá thấm đều gia vị, thịt săn nhưng không khô, quyện sốt kho óng ánh, đậm đà đưa cơm. Mùi thơm từ tiêu và hành phi lan tỏa, gợi cảm giác mâm cơm nhà đúng nghĩa.Sốt cà chua, cá được chiên áp chảo nhẹ để giữ độ mọng nước, sau đó kho cùng cà chua chín mọng, hành tây, thì là và một chút mắm nhĩ nguyên chất. Nước sốt sánh mịn, chua ngọt hài hòa, ôm trọn từng miếng cá, tạo nên hương vị thanh nhẹ nhưng đầy cuốn hút.",590,hai_san|thit|chien_xao|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0036,Cá kho làng Vũ Đại,ca kho lang vu ai,mon-ca,Món cá,180000,moderate,https://comnieuvietnam.vn/products/ca-kho-lang-vu-dai,https://cdn.hstatic.net/products/200001057701/ca-kho-lang-vu-dai_da18afe54b37437586be405140d9a73d_1024x1024.jpg,"Cá kho làng Vũ Đại – tinh hoa ẩm thực trứ danh của vùng đất Hà Nam, nổi tiếng với hương vị đậm đà, cầu kỳ và chuẩn mực trong từng công đoạn. Món cá kho truyền thống này được kho liu riu suốt nhiều giờ liền trong niêu đất, kết hợp cùng nước cốt cua đồng, kẹo đắng, riềng, gừng, ớt, hành khô và những gia vị đặc trưng của làng nghề lâu đời. Chính sự tỉ mỉ ấy tạo nên lớp thịt cá săn chắc, rắn rỏi nhưng vẫn thơm mềm, thấm đượm gia vị đến tận từng thớ thịt.Khác với những món cá kho thông thường, cá kho Vũ Đại không dùng đường, không dùng mì chính, mà hoàn toàn dựa vào gia vị tự nhiên và kỹ thuật kho bí truyền. Niêu cá sau khi hoàn thành có màu nâu cánh gián óng ả, tỏa hương thơm nồng nàn của riềng và tiêu, hòa quyện cùng vị mặn đậm, ngọt thanh tự nhiên đặc trưng. Miếng cá chắc thịt, không tanh, ăn kèm cơm trắng nóng hổi hay rau luộc đều khiến thực khách mê mẩn.",520,lau|com|canh|rau|hai_san|thit|thanh_dam|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0052,Cá lăng sông kho tộ,ca lang song kho to,mon-ca,Món cá,130000,affordable,https://comnieuvietnam.vn/products/ca-lang-song-kho-to,https://cdn.hstatic.net/products/200001057701/ca-lang-kho-to_19e48c736efb4692b5e19f90a1e18ed1_1024x1024.jpg,"Cá lăng sông kho tộ là món ăn đặc trưng trong ẩm thực miền sông nước Việt Nam, nổi bật với hương vị đậm đà, ngọt tự nhiên và mùi thơm hấp dẫn từ nồi kho. Cá lăng tươi ngon, thịt săn chắc, ngọt béo, được chế biến khéo léo để khi kho, từng thớ thịt vẫn giữ được độ mềm nhưng không bị nát, thấm đều gia vị. Nồi kho tộ bằng đất giúp giữ nhiệt lâu, làm nước kho sánh mịn, màu nâu cánh gián óng ánh, hòa quyện với hương thơm nhẹ nhàng của hành, tỏi phi và tiêu.Điểm nhấn của món ăn là sự hài hòa giữa vị mặn, ngọt và cay nhẹ của gia vị, kết hợp cùng hương thơm đặc trưng của nồi kho tộ. Khi thưởng thức, từng miếng cá mềm, thấm đẫm nước sốt, quyện cùng cơm trắng nóng hổi tạo cảm giác ấm áp, tròn vị và khó quên. Món ăn này không chỉ ngon miệng mà còn rất bổ dưỡng, phù hợp cho mọi bữa cơm gia đình hoặc những bữa tiệc thân mật.",450,lau|com|canh|hai_san|thit|thanh_dam|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0055,Cá linh chiên giòn,ca linh chien gion,mon-ca,Món cá,89000,affordable,https://comnieuvietnam.vn/products/ca-linh-chien-gion,https://cdn.hstatic.net/products/200001057701/ca-linh-chien-gion_cdb936f5016840c195c4aa0cb84620dc_grande.jpg,"Cá linh chiên giòn là món ăn đặc trưng của ẩm thực miền sông nước Việt Nam, nổi bật với hương vị giòn rụm, thơm lừng và vị ngọt tự nhiên của cá tươi. Cá linh tươi ngon được lựa chọn kỹ lưỡng, rửa sạch và ướp nhẹ với gia vị truyền thống như muối, tiêu và một chút bột chiên giòn để khi chiên, từng con cá vàng ruộm, giòn rụm nhưng vẫn giữ được thịt mềm ngọt bên trong.Điểm nhấn của món ăn nằm ở lớp vỏ giòn tan bên ngoài và thịt cá ngọt mềm bên trong. Khi thưởng thức, vị giòn rụm, thơm nức kết hợp với vị ngọt thanh của cá tạo nên trải nghiệm trọn vẹn, vừa dân dã vừa tinh tế. Cá linh chiên giòn thường được ăn kèm cơm trắng nóng hổi, rau sống hoặc chấm với nước mắm chua ngọt, mang đến sự cân bằng hương vị tuyệt vời, khiến bữa ăn trở nên hấp dẫn và khó quên.",520,com|rau|hai_san|thit|chien_xao|thanh_dam|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
D0049,Cá lóc biển hồ Cambodia chiên giòn,ca loc bien ho cambodia chien gion,mon-ca,Món cá,150000,moderate,https://comnieuvietnam.vn/products/ca-loc-bien-ho-cambodia-chien-gion,https://cdn.hstatic.net/products/200001057701/ca-loc-chien-gion_e8777dd9ac584b7c8c457581913360f2_1024x1024.jpg,"Cá lóc Biển Hồ Cambodia chiên giòn là món ăn mang trọn hương vị độc đáo của thủy sản nước ngọt vùng Mekong, nơi những con cá lóc sinh trưởng tự nhiên trong môi trường trong lành, thịt săn chắc và thơm đặc trưng. Cá được làm sạch, khứa nhẹ thân để thấm gia vị, sau đó chiên vàng trong chảo dầu nóng đến khi lớp da ngoài phồng giòn hấp dẫn, còn phần thịt bên trong vẫn mềm ngọt và mọng nước. Khi thưởng thức, bạn sẽ cảm nhận được sự hòa quyện tuyệt vời giữa vị béo nhẹ, ngọt thanh của cá lóc tự nhiên và độ giòn rụm đầy kích thích vị giác.Món ăn thường được dọn kèm mắm me hoặc nước mắm tỏi ớt pha chua ngọt, thêm rau sống, dưa leo giúp cân bằng và làm tăng hương vị. Đây là lựa chọn lý tưởng cho bữa cơm gia đình, những buổi tụ tập hoặc các bữa tiệc mang phong cách dân dã – nơi mỗi miếng cá giòn tan đều khiến bữa ăn trở nên trọn vẹn và đáng nhớ.",590,rau|hai_san|thit|chien_xao|thanh_dam|do_uong_them,0,comnieuvietnam-vn-2026-06-04.xlsx|comnieuvietnam-vn-2026-06-04_7.xlsx,1,savory,C2 - Cụm 2: Món mặn đưa cơm
